League,Confrence,Division,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
NBA,Eastern Conference,Atlantic Division,Toronto Raptors,59,23,72%,0,111.70,103.90,7.29
NBA,Eastern Conference,Atlantic Division,Boston Celtics,55,27,67%,4,104.00,100.40,3.23
NBA,Eastern Conference,Atlantic Division,Philadelphia 76ers,52,30,63%,7,109.80,105.30,4.30
NBA,Eastern Conference,Atlantic Division,New York Knicks,29,53,35%,30,104.50,108.00,-3.53
NBA,Eastern Conference,Atlantic Division,Brooklyn Nets,28,54,34%,31,106.60,110.30,-3.67
NBA,Eastern Conference,Central Division,Cleveland Cavaliers,50,32,61%,0,110.90,109.90,0.59
NBA,Eastern Conference,Central Division,Indiana Pacers,48,34,59%,2,105.60,104.20,1.18
NBA,Eastern Conference,Central Division,Milwaukee Bucks,44,38,54%,6,106.50,106.80,-0.45
NBA,Eastern Conference,Central Division,Detroit Pistons,39,43,48%,11,103.80,103.90,-0.26
NBA,Eastern Conference,Central Division,Chicago Bulls,27,55,33%,23,102.90,110.00,-6.84
NBA,Eastern Conference,Southeast Division,Miami Heat,44,38,54%,0,103.40,102.90,0.15
NBA,Eastern Conference,Southeast Division,Washington Wizards,43,39,52%,1,106.60,106.00,0.53
NBA,Eastern Conference,Southeast Division,Charlotte Hornets,36,46,44%,8,108.20,108.00,0.07
NBA,Eastern Conference,Southeast Division,Orlando Magic,25,57,31%,19,103.40,108.20,-4.92
NBA,Eastern Conference,Southeast Division,Atlanta Hawks,24,58,29%,20,103.40,108.80,-5.30
NBA,Western Conference,Northwest Division,Portland Trail Blazers,49,33,60%,0,105.60,103.00,2.60
NBA,Western Conference,Northwest Division,Oklahoma City Thunder,48,34,59%,1,107.90,104.40,3.42
NBA,Western Conference,Northwest Division,Utah Jazz,48,34,59%,1,104.10,99.80,4.47
NBA,Western Conference,Northwest Division,Minnesota Timberwolves,47,35,57%,2,109.50,107.30,2.35
NBA,Western Conference,Northwest Division,Denver Nuggets,46,36,56%,3,110.00,108.50,1.57
NBA,Western Conference,Pacific Division,Golden State Warriors,58,24,71%,0,113.50,107.50,5.79
NBA,Western Conference,Pacific Division,Los Angeles Clippers,42,40,51%,16,109.00,109.00,0.15
NBA,Western Conference,Pacific Division,Los Angeles Lakers,35,47,43%,23,108.10,109.60,-1.44
NBA,Western Conference,Pacific Division,Sacramento Kings,27,55,33%,31,98.80,105.80,-6.60
NBA,Western Conference,Pacific Division,Phoenix Suns,21,61,26%,37,103.90,113.30,-8.80
NBA,Western Conference,Southwest Division,Houston Rockets,65,17,79%,0,112.40,103.90,8.21
NBA,Western Conference,Southwest Division,New Orleans Pelicans,48,34,59%,17,111.70,110.40,1.48
NBA,Western Conference,Southwest Division,San Antonio Spurs,47,35,57%,18,102.70,99.80,2.89
NBA,Western Conference,Southwest Division,Dallas Mavericks,24,58,29%,41,102.30,105.40,-2.70
NBA,Western Conference,Southwest Division,Memphis Grizzlies,22,60,27%,43,99.30,105.50,-5.81
